user_input,retrieved_contexts,response,reference,faithfulness,context_precision,context_recall,answer_relevancy
What is health insurance?,"['HEALTH INSURANCE POLICY –RETAIL \n \nThis Policy  is issued to the Insured  based on the Proposal  and declaration together with any statement, repor t or \nother document which shall be the basis of this contract and shall be deemed to be incorporated herein, to Insurer  \nupon payment of the Premium.  This Policy  records the agreement between Insurer  and Insured  and sets out the \nterms of insurance and the obligations of each party. \n \nThe Policy, the Schedule and any Endorsement shall be read together and any word or expression to whic h a \nspecific meaning has been attached in any part of this Policy or of Schedule shall bear such meaning whenever \nit may appear. \n  \nSubject to the terms, Conditions, exclusions and de finitions contained herein or endorsed or otherwise  \nexpressed hereon, Insurer undertakes to pay the Insured Person the hospitalization expenses arising out of an', 'This Policy  is issued to the Insured  based on the Proposal  and declaration together with any statement, repor t or \nother document which shall be the basis of this contract and shall be deemed to be incorporated herein, to Insurer  \nupon payment of the Premium.  This Policy  records the agreement between Insurer  and Insured  and sets out the \nterms of insurance and the obligations of each party. \n \nThe Policy, the Schedule and any Endorsement shall be read together and any word or expression to whic h a \nspecific meaning has been attached in any part of this Policy or of Schedule shall bear such meaning whenever \nit may appear. \n  \nSubject to the terms, Conditions, exclusions and de finitions contained herein or endorsed or otherwise  \nexpressed hereon, Insurer undertakes to pay the Insured Person the hospitalization expenses arising out of an \nInjury or Illness/Disease and that are reasonably and necessarily incurred by or on behalf of such Insured Person,', 'This Policy  is issued to the Insured  based on the Proposal  and declaration together with any statement, repor t or \nother document which shall be the basis of this contract and shall be deemed to be incorporated herein, to Insurer  \nupon payment of the Premium.  This Policy  records the agreement between Insurer  and Insured  and sets out the \nterms of insurance and the obligations of each party. \n \nThe Policy, the Schedule and any Endorsement shall be read together and any word or expression to whic h a \nspecific meaning has been attached in any part of this Policy or of Schedule shall bear such meaning whenever \nit may appear. \n  \nSubject to the terms, Conditions, exclusions and de finitions contained herein or endorsed or otherwise  \nexpressed hereon, Insurer undertakes to pay the Insured Person the hospitalization expenses arising out of an \nInjury or Illness/Disease and that are reasonably and necessarily incurred by or on behalf of such Insured Person,']","The context does not contain a direct definition of health insurance. However, it appears to be a contract between an Insurer and an Insured, where the Insurer undertakes to pay the Insured's hospitalization expenses arising out of an Injury or Illness/Disease.",Health insurance is a contract between an insurer and a policyholder that covers medical expenses and treatments in exchange for regular premium payments.,,,,
What are the documents required to file a claim?,"['7. On receipt of intimation from Insured  regarding a claim under the policy, Insurer /Administrator  is \nentitled to carry out examination and obtain information on any alleged Injury or Disease requiring \nHospitalisation  if and when Insurer  may reasonably require. \n \nII.  Claims procedure for Cashless: \n\uf0b7 Administrator  will provide the User guide & identity card to Insured . User guide will have \nfollowing details: \n\uf0b7 Contact details of all Administrator offices \n\uf0b7 Website address of Administrator \n\uf0b7 Network list of hospitals with their contact details \n\uf0b7 Claim submission guidelines. \n \nIII.  Claims Submission \n Insured  will submit the claim documents to administrator. Following is the document list for claim \nsubmission: \n\uf0b7 Duly filled Claim form,  \n\uf0b7 Valid Photo Identity Card \n\uf0b7 Original Discharge card/certificate/ death summary \n\uf0b7 Copies of prescription for diagnostic test, treatment advise, medical references \n\uf0b7 Original set of investigation reports', '7. On receipt of intimation from Insured  regarding a claim under the policy, Insurer /Administrator  is \nentitled to carry out examination and obtain information on any alleged Injury or Disease requiring \nHospitalisation  if and when Insurer  may reasonably require. \n \nII.  Claims procedure for Cashless: \n\uf0b7 Administrator  will provide the User guide & identity card to Insured . User guide will have \nfollowing details: \n\uf0b7 Contact details of all Administrator offices \n\uf0b7 Website address of Administrator \n\uf0b7 Network list of hospitals with their contact details \n\uf0b7 Claim submission guidelines. \n \nIII.  Claims Submission \n Insured  will submit the claim documents to administrator. Following is the document list for claim \nsubmission: \n\uf0b7 Duly filled Claim form,  \n\uf0b7 Valid Photo Identity Card \n\uf0b7 Original Discharge card/certificate/ death summary \n\uf0b7 Copies of prescription for diagnostic test, treatment advise, medical references \n\uf0b7 Original set of investigation reports', '\uf0b7 Duly filled Claim form,  \n\uf0b7 Valid Photo Identity Card \n\uf0b7 Original Discharge card/certificate/ death summary \n\uf0b7 Copies of prescription for diagnostic test, treatment advise, medical references \n\uf0b7 Original set of investigation reports \n\uf0b7 Itemized original hospital bill and receipts Hospital and related original medical expense \nreceipt Pharmacy bills in original with prescriptions \n \nIV.  Claims Processing \nOn receipt of claim documents from Insured , Insurer/Administrator  shall assess the admissibility of claim \nas per Policy terms and conditions.   Upon satisfac tory completion of assessment and admission of clai m, \nthe Insurer  will make the payment of benefit as per the contra ct.  In case the claim is repudiated Insurer  \nwill inform the Insured  about the same in writing with reason for repudiation.  \n \ng)  Cumulative Bonus  \nIf no claim has been made under the policy with us and the policy is renewed with us and without any break']","To file a claim, the following documents are required:

1. Duly filled Claim form
2. Valid Photo Identity Card
3. Original Discharge card/certificate/ death summary
4. Copies of prescription for diagnostic test, treatment advise, medical references
5. Original set of investigation reports
6. Itemized original hospital bill and receipts
7. Hospital and related original medical expense receipts
8. Pharmacy bills in original with prescriptions","Documents required include a filled claim form, ID proof, discharge summary, medical prescriptions, investigation reports, hospital bills, and pharmacy receipts.",,,,
What are the diseases on eye?,"['26. Incision of diseased eyelids \n27. Operations on the canthus and epicanthus \n28. Corrective surgery for entropion and ectropion \n29. Corrective surgery for blepharoptosis \n30. Removal of a foreign body from the conjunctiva', 'UIN: SBIHLIP11002V021011 I IRDAI Reg No.144 \n31. Removal of a foreign body from the cornea \n32. Incision of the cornea \n33. Operations for pterygium \n34. Other operations on the cornea \n35. Removal of a foreign body from the lens of the eye \n36. Removal of a foreign body from the posterior chamber of the eye \n37. Removal of a foreign body from the orbit and eyeball \n38. Operation of cataract \nOperations on the skin & subcutaneous tissues \n39. Incision of a pilonidal sinus \n40. Other incisions of the skin and subcutaneous tissues \n41. Surgical wound toilet (wound debridement) and removal of diseased tissue of the skin and subcutaneous \ntissues \n42. Local excision of diseased tissue of the skin and subcutaneous tissues \n43. Other excisions of the skin and subcutaneous tissues \n44. Simple restoration of surface continuity of the skin and subcutaneous tissues \n45. Free skin transplantation, donor site \n46. Free skin transplantation, recipient site \n47. Revision of skin plasty', '31. Removal of a foreign body from the cornea \n32. Incision of the cornea \n33. Operations for pterygium \n34. Other operations on the cornea \n35. Removal of a foreign body from the lens of the eye \n36. Removal of a foreign body from the posterior chamber of the eye \n37. Removal of a foreign body from the orbit and eyeball \n38. Operation of cataract \nOperations on the skin & subcutaneous tissues \n39. Incision of a pilonidal sinus \n40. Other incisions of the skin and subcutaneous tissues \n41. Surgical wound toilet (wound debridement) and removal of diseased tissue of the skin and subcutaneous \ntissues \n42. Local excision of diseased tissue of the skin and subcutaneous tissues \n43. Other excisions of the skin and subcutaneous tissues \n44. Simple restoration of surface continuity of the skin and subcutaneous tissues \n45. Free skin transplantation, donor site \n46. Free skin transplantation, recipient site \n47. Revision of skin plasty']",The context does not contain the answer.,Entropion: eyelid turns inward; Ectropion: eyelid turns outward; Blepharoptosis: upper eyelid droops; Pterygium: growth on cornea; Cataract: clouding of lens affecting vision.,,,,
What is the premium in health insurance?,"['HEALTH INSURANCE POLICY –RETAIL \n \nThis Policy  is issued to the Insured  based on the Proposal  and declaration together with any statement, repor t or \nother document which shall be the basis of this contract and shall be deemed to be incorporated herein, to Insurer  \nupon payment of the Premium.  This Policy  records the agreement between Insurer  and Insured  and sets out the \nterms of insurance and the obligations of each party. \n \nThe Policy, the Schedule and any Endorsement shall be read together and any word or expression to whic h a \nspecific meaning has been attached in any part of this Policy or of Schedule shall bear such meaning whenever \nit may appear. \n  \nSubject to the terms, Conditions, exclusions and de finitions contained herein or endorsed or otherwise  \nexpressed hereon, Insurer undertakes to pay the Insured Person the hospitalization expenses arising out of an', 'been increased if the Policy is a renewal of the Health Insurance Policy with Insurer  without break \nin cover. \n \nIf the policy is a renewal / rollover from any Other Insurer   and if the Insured  is covered \ncontinuously and without interruption/break in insurance for at least 3 years under an individual \nhealth insurance policy for the reimbursement of me dical costs for inpatient treatment in a \nHospital, this exclusion stands waived provided tha t the Insured  establishes to the Insurer’s', 'in cover. \n \nIf the policy is a renewal / rollover from any Other Insurer   and if the Insured  is covered \ncontinuously and without interruption/break in insurance for at least 3 years under an individual \nhealth insurance policy for the reimbursement of me dical costs for inpatient treatment in a \nHospital, this exclusion stands waived provided tha t the Insured  establishes to the Insurer’s']",The context does not contain the answer.,Premium is the regular payment made by the policyholder to the insurance company to maintain coverage.,,,,
What is a deductible in insurance?,"['This Policy  is issued to the Insured  based on the Proposal  and declaration together with any statement, repor t or \nother document which shall be the basis of this contract and shall be deemed to be incorporated herein, to Insurer  \nupon payment of the Premium.  This Policy  records the agreement between Insurer  and Insured  and sets out the \nterms of insurance and the obligations of each party. \n \nThe Policy, the Schedule and any Endorsement shall be read together and any word or expression to whic h a \nspecific meaning has been attached in any part of this Policy or of Schedule shall bear such meaning whenever \nit may appear. \n  \nSubject to the terms, Conditions, exclusions and de finitions contained herein or endorsed or otherwise  \nexpressed hereon, Insurer undertakes to pay the Insured Person the hospitalization expenses arising out of an \nInjury or Illness/Disease and that are reasonably and necessarily incurred by or on behalf of such Insured Person,', 'This Policy  is issued to the Insured  based on the Proposal  and declaration together with any statement, repor t or \nother document which shall be the basis of this contract and shall be deemed to be incorporated herein, to Insurer  \nupon payment of the Premium.  This Policy  records the agreement between Insurer  and Insured  and sets out the \nterms of insurance and the obligations of each party. \n \nThe Policy, the Schedule and any Endorsement shall be read together and any word or expression to whic h a \nspecific meaning has been attached in any part of this Policy or of Schedule shall bear such meaning whenever \nit may appear. \n  \nSubject to the terms, Conditions, exclusions and de finitions contained herein or endorsed or otherwise  \nexpressed hereon, Insurer undertakes to pay the Insured Person the hospitalization expenses arising out of an \nInjury or Illness/Disease and that are reasonably and necessarily incurred by or on behalf of such Insured Person,', 'HEALTH INSURANCE POLICY –RETAIL \n \nThis Policy  is issued to the Insured  based on the Proposal  and declaration together with any statement, repor t or \nother document which shall be the basis of this contract and shall be deemed to be incorporated herein, to Insurer  \nupon payment of the Premium.  This Policy  records the agreement between Insurer  and Insured  and sets out the \nterms of insurance and the obligations of each party. \n \nThe Policy, the Schedule and any Endorsement shall be read together and any word or expression to whic h a \nspecific meaning has been attached in any part of this Policy or of Schedule shall bear such meaning whenever \nit may appear. \n  \nSubject to the terms, Conditions, exclusions and de finitions contained herein or endorsed or otherwise  \nexpressed hereon, Insurer undertakes to pay the Insured Person the hospitalization expenses arising out of an']",The context does not contain the answer.,A deductible is the amount the insured must pay out-of-pocket before the insurance coverage starts.,,,,
What are the types of health insurance plans?,"['HEALTH INSURANCE POLICY –RETAIL \n \nThis Policy  is issued to the Insured  based on the Proposal  and declaration together with any statement, repor t or \nother document which shall be the basis of this contract and shall be deemed to be incorporated herein, to Insurer  \nupon payment of the Premium.  This Policy  records the agreement between Insurer  and Insured  and sets out the \nterms of insurance and the obligations of each party. \n \nThe Policy, the Schedule and any Endorsement shall be read together and any word or expression to whic h a \nspecific meaning has been attached in any part of this Policy or of Schedule shall bear such meaning whenever \nit may appear. \n  \nSubject to the terms, Conditions, exclusions and de finitions contained herein or endorsed or otherwise  \nexpressed hereon, Insurer undertakes to pay the Insured Person the hospitalization expenses arising out of an', 'basic sum insured under the policy and all the eligibility criteria for the ascertaining the applicable \nlimits under the policy will be calculated basing on the base sum insured. \n \nh)  Basis of claims payment \n \na)  If Insured  suffer a relapse within 45 days of the discharge from Hospital, obtaining medical treatment \nor consulting a Doctor and for which a claim has been made, then such relapse shall be deemed to be \npart of the same claim, as long as the relapse occurs within the Policy Period. \nb)  The day care procedures listed are subject to the exclusions, terms and conditions of the Policy and will \nnot be treated as independent coverage under the Policy. \nc)  The plan which Insured  is covered for will be shown on the Schedule . The table below sets out the \npercentage of the eligible claim amount that Insurer  will be accountable for where a claim cost is \nincurred in a Location other than that prescribed in the Schedule . \n \nBenefit Plan \nTreatment \nLocation A-', 'This Policy  is issued to the Insured  based on the Proposal  and declaration together with any statement, repor t or \nother document which shall be the basis of this contract and shall be deemed to be incorporated herein, to Insurer  \nupon payment of the Premium.  This Policy  records the agreement between Insurer  and Insured  and sets out the \nterms of insurance and the obligations of each party. \n \nThe Policy, the Schedule and any Endorsement shall be read together and any word or expression to whic h a \nspecific meaning has been attached in any part of this Policy or of Schedule shall bear such meaning whenever \nit may appear. \n  \nSubject to the terms, Conditions, exclusions and de finitions contained herein or endorsed or otherwise  \nexpressed hereon, Insurer undertakes to pay the Insured Person the hospitalization expenses arising out of an \nInjury or Illness/Disease and that are reasonably and necessarily incurred by or on behalf of such Insured Person,']",The context does not contain the answer.,"Health insurance plans include individual plans, group plans, government plans like Medicare and Medicaid, and short-term plans.",,,,
What is a claim form?,"['\uf0b7 Duly filled Claim form,  \n\uf0b7 Valid Photo Identity Card \n\uf0b7 Original Discharge card/certificate/ death summary \n\uf0b7 Copies of prescription for diagnostic test, treatment advise, medical references \n\uf0b7 Original set of investigation reports \n\uf0b7 Itemized original hospital bill and receipts Hospital and related original medical expense \nreceipt Pharmacy bills in original with prescriptions \n \nIV.  Claims Processing \nOn receipt of claim documents from Insured , Insurer/Administrator  shall assess the admissibility of claim \nas per Policy terms and conditions.   Upon satisfac tory completion of assessment and admission of clai m, \nthe Insurer  will make the payment of benefit as per the contra ct.  In case the claim is repudiated Insurer  \nwill inform the Insured  about the same in writing with reason for repudiation.  \n \ng)  Cumulative Bonus  \nIf no claim has been made under the policy with us and the policy is renewed with us and without any break', 'General Conditions \n \na)  Due Care \nWhere this Policy requires Insured to do or not to do something, then the complete satisfaction of tha t \nrequirement by Insured or someone claiming on Insur ed behalf is a precondition to any obligation under  this \nPolicy. If Insured or someone claiming on Insured b ehalf fails to completely satisfy that requirement,  then \nInsurer may refuse to consider Insured claim. Insured will cooperate with Insurer at all times. \nb)  Mis-description \nThis Policy shall be void and premium paid shall be forfeited to Insurer in the event of misrepresentation, mis-\ndescription or non-disclosure of any materials facts pertaining to the proposal form, written declarations or any \nother communication exchanged for the sake of obtaining the Insurance policy by the Insured.   Nondisclosure \nshall include non-intimation of any circumstances w hich may affect the insurance cover granted.  The', 'General Conditions \n \na)  Due Care \nWhere this Policy requires Insured to do or not to do something, then the complete satisfaction of tha t \nrequirement by Insured or someone claiming on Insur ed behalf is a precondition to any obligation under  this \nPolicy. If Insured or someone claiming on Insured b ehalf fails to completely satisfy that requirement,  then \nInsurer may refuse to consider Insured claim. Insured will cooperate with Insurer at all times. \nb)  Mis-description \nThis Policy shall be void and premium paid shall be forfeited to Insurer in the event of misrepresentation, mis-\ndescription or non-disclosure of any materials facts pertaining to the proposal form, written declarations or any \nother communication exchanged for the sake of obtaining the Insurance policy by the Insured.   Nondisclosure \nshall include non-intimation of any circumstances w hich may affect the insurance cover granted.  The']",A duly filled Claim form is required.,A claim form is an official document that must be filled out to request payment or benefits from an insurance company.,,,,
What is a police report required for?,"['be considered necessary by the Insurer for establishing the liability under the Policy.  The Insurer \nwill reimburse the amount towards the expenses incurred for the said medical examination to the \nInsured. \n6. Insured  must submit all original bills, receipts, certific ates, information and evidences from the \nattending Medical Practitioner  /Hospital /Diagnostic Laboratory as required by Insurer .', 'be considered necessary by the Insurer for establishing the liability under the Policy.  The Insurer \nwill reimburse the amount towards the expenses incurred for the said medical examination to the \nInsured. \n6. Insured  must submit all original bills, receipts, certific ates, information and evidences from the \nattending Medical Practitioner  /Hospital /Diagnostic Laboratory as required by Insurer .', '7. On receipt of intimation from Insured  regarding a claim under the policy, Insurer /Administrator  is \nentitled to carry out examination and obtain information on any alleged Injury or Disease requiring \nHospitalisation  if and when Insurer  may reasonably require. \n \nII.  Claims procedure for Cashless: \n\uf0b7 Administrator  will provide the User guide & identity card to Insured . User guide will have \nfollowing details: \n\uf0b7 Contact details of all Administrator offices \n\uf0b7 Website address of Administrator \n\uf0b7 Network list of hospitals with their contact details \n\uf0b7 Claim submission guidelines. \n \nIII.  Claims Submission \n Insured  will submit the claim documents to administrator. Following is the document list for claim \nsubmission: \n\uf0b7 Duly filled Claim form,  \n\uf0b7 Valid Photo Identity Card \n\uf0b7 Original Discharge card/certificate/ death summary \n\uf0b7 Copies of prescription for diagnostic test, treatment advise, medical references \n\uf0b7 Original set of investigation reports']",The context does not contain the answer.,"A police report is required to document incidents like theft, accidents, or injuries for filing a claim.",,,,
What is a medical record in claims?,"['7. On receipt of intimation from Insured  regarding a claim under the policy, Insurer /Administrator  is \nentitled to carry out examination and obtain information on any alleged Injury or Disease requiring \nHospitalisation  if and when Insurer  may reasonably require. \n \nII.  Claims procedure for Cashless: \n\uf0b7 Administrator  will provide the User guide & identity card to Insured . User guide will have \nfollowing details: \n\uf0b7 Contact details of all Administrator offices \n\uf0b7 Website address of Administrator \n\uf0b7 Network list of hospitals with their contact details \n\uf0b7 Claim submission guidelines. \n \nIII.  Claims Submission \n Insured  will submit the claim documents to administrator. Following is the document list for claim \nsubmission: \n\uf0b7 Duly filled Claim form,  \n\uf0b7 Valid Photo Identity Card \n\uf0b7 Original Discharge card/certificate/ death summary \n\uf0b7 Copies of prescription for diagnostic test, treatment advise, medical references \n\uf0b7 Original set of investigation reports', '7. On receipt of intimation from Insured  regarding a claim under the policy, Insurer /Administrator  is \nentitled to carry out examination and obtain information on any alleged Injury or Disease requiring \nHospitalisation  if and when Insurer  may reasonably require. \n \nII.  Claims procedure for Cashless: \n\uf0b7 Administrator  will provide the User guide & identity card to Insured . User guide will have \nfollowing details: \n\uf0b7 Contact details of all Administrator offices \n\uf0b7 Website address of Administrator \n\uf0b7 Network list of hospitals with their contact details \n\uf0b7 Claim submission guidelines. \n \nIII.  Claims Submission \n Insured  will submit the claim documents to administrator. Following is the document list for claim \nsubmission: \n\uf0b7 Duly filled Claim form,  \n\uf0b7 Valid Photo Identity Card \n\uf0b7 Original Discharge card/certificate/ death summary \n\uf0b7 Copies of prescription for diagnostic test, treatment advise, medical references \n\uf0b7 Original set of investigation reports', '\uf0b7 Duly filled Claim form,  \n\uf0b7 Valid Photo Identity Card \n\uf0b7 Original Discharge card/certificate/ death summary \n\uf0b7 Copies of prescription for diagnostic test, treatment advise, medical references \n\uf0b7 Original set of investigation reports \n\uf0b7 Itemized original hospital bill and receipts Hospital and related original medical expense \nreceipt Pharmacy bills in original with prescriptions \n \nIV.  Claims Processing \nOn receipt of claim documents from Insured , Insurer/Administrator  shall assess the admissibility of claim \nas per Policy terms and conditions.   Upon satisfac tory completion of assessment and admission of clai m, \nthe Insurer  will make the payment of benefit as per the contra ct.  In case the claim is repudiated Insurer  \nwill inform the Insured  about the same in writing with reason for repudiation.  \n \ng)  Cumulative Bonus  \nIf no claim has been made under the policy with us and the policy is renewed with us and without any break']",The context does not contain the answer.,"Medical records are documents like doctor notes, prescriptions, and hospital bills used to support health insurance claims.",,,,
What are receipts used for in a claim?,"['\uf0b7 Duly filled Claim form,  \n\uf0b7 Valid Photo Identity Card \n\uf0b7 Original Discharge card/certificate/ death summary \n\uf0b7 Copies of prescription for diagnostic test, treatment advise, medical references \n\uf0b7 Original set of investigation reports \n\uf0b7 Itemized original hospital bill and receipts Hospital and related original medical expense \nreceipt Pharmacy bills in original with prescriptions \n \nIV.  Claims Processing \nOn receipt of claim documents from Insured , Insurer/Administrator  shall assess the admissibility of claim \nas per Policy terms and conditions.   Upon satisfac tory completion of assessment and admission of clai m, \nthe Insurer  will make the payment of benefit as per the contra ct.  In case the claim is repudiated Insurer  \nwill inform the Insured  about the same in writing with reason for repudiation.  \n \ng)  Cumulative Bonus  \nIf no claim has been made under the policy with us and the policy is renewed with us and without any break', '\uf0b7 Copies of prescription for diagnostic test, treatment advise, medical references \n\uf0b7 Original set of investigation reports \n\uf0b7 Itemized original hospital bill and receipts Hospital and related original medical expense \nreceipt Pharmacy bills in original with prescriptions \n \nIV.  Claims Processing \nOn receipt of claim documents from Insured , Insurer/Administrator  shall assess the admissibility of claim \nas per Policy terms and conditions.   Upon satisfac tory completion of assessment and admission of clai m, \nthe Insurer  will make the payment of benefit as per the contra ct.  In case the claim is repudiated Insurer  \nwill inform the Insured  about the same in writing with reason for repudiation.  \n \ng)  Cumulative Bonus  \nIf no claim has been made under the policy with us and the policy is renewed with us and without any break \nor within the Grace period as defined under the pol icy, we will allow a cumulative bonus to the renewa l', '\uf0b7 Copies of prescription for diagnostic test, treatment advise, medical references \n\uf0b7 Original set of investigation reports \n\uf0b7 Itemized original hospital bill and receipts Hospital and related original medical expense \nreceipt Pharmacy bills in original with prescriptions \n \nIV.  Claims Processing \nOn receipt of claim documents from Insured , Insurer/Administrator  shall assess the admissibility of claim \nas per Policy terms and conditions.   Upon satisfac tory completion of assessment and admission of clai m, \nthe Insurer  will make the payment of benefit as per the contra ct.  In case the claim is repudiated Insurer  \nwill inform the Insured  about the same in writing with reason for repudiation.  \n \ng)  Cumulative Bonus  \nIf no claim has been made under the policy with us and the policy is renewed with us and without any break \nor within the Grace period as defined under the pol icy, we will allow a cumulative bonus to the renewa l']",Receipts are used for hospital and related original medical expenses.,"Receipts are proof of payment for medical treatment, repair, or other services relevant to a claim.",,,,
